,mean,std,min,max
ssn_name_dob_count_7,1.025098,0.45112115213411325,1.0,34.0
ssn_name_dob_count_14,1.032193,0.4714794089250538,1.0,34.0
ssn_name_dob_count_30,1.04594,0.4961469163055356,1.0,34.0
ssn_count_0_by_3,2.9914976937306594,0.12022318294563185,0.13636363636363638,3.0
ssn_count_0_by_7,6.965125095701873,0.3683834231870887,0.3181818181818182,7.000000000000001
ssn_count_0_by_14,13.882686777226901,0.9401860553474787,0.6363636363636364,14.000000000000002
ssn_count_0_by_30,29.534962359139993,2.68957714955671,1.3636363636363638,30.000000000000004
ssn_count_1_by_3,2.9952554254247534,0.08370075045336489,0.42857142857142855,3.0
ssn_count_1_by_7,6.973422547392827,0.3097023652544751,0.5,7.000000000000001
ssn_count_1_by_14,13.898946614646007,0.8532148358225664,0.875,14.000000000000002
ssn_count_1_by_30,29.569329418561434,2.556817096131751,1.7647058823529411,30.000000000000004
address_count_0_by_3,2.986865091358188,0.15024141349911022,0.1764705882352941,3.0
address_count_0_by_7,6.948009109660726,0.45302110180473576,0.3181818181818182,7.0
address_count_0_by_14,13.830764017816911,1.1399878473933671,0.6363636363636364,14.0
address_count_0_by_30,29.35990069933153,3.201460712465788,1.3043478260869565,30.000000000000004
address_count_1_by_3,2.992876108803191,0.10221261082396021,0.42857142857142855,3.0
address_count_1_by_7,6.961215304730971,0.3749447109413268,0.5833333333333334,7.000000000000001
address_count_1_by_14,13.856448876043828,1.0226814513094693,0.9333333333333333,14.000000000000002
address_count_1_by_30,29.413511605001645,3.019344195457329,1.3043478260869565,30.000000000000004
dob_count_0_by_3,2.764967725701429,0.5801594447060288,0.05172413793103449,3.0
dob_count_0_by_7,5.8979482608272145,1.7753097047354969,0.059322033898305086,7.0
dob_count_0_by_14,10.238895015715482,4.138343310743489,0.06334841628959276,14.0
dob_count_0_by_30,16.943419511076346,9.368689961550151,0.06928406466512702,30.000000000000004
dob_count_1_by_3,2.844282449980735,0.4630702435515867,0.08108108108108107,3.0
dob_count_1_by_7,6.060397378872481,1.6437866079452244,0.09210526315789473,7.000000000000001
dob_count_1_by_14,10.521252821770231,4.014331810232535,0.08588957055214724,14.000000000000002
dob_count_1_by_30,17.422090820415594,9.291138686445624,0.07633587786259542,30.000000000000004
homephone_count_0_by_3,2.5360603617907578,0.7329040660772753,0.09375,3.0
homephone_count_0_by_7,4.888224009597566,2.0758630442738415,0.21212121212121213,7.0
homephone_count_0_by_14,7.49854887113702,4.284065450943465,0.38888888888888884,14.0
homephone_count_0_by_30,10.967529014838151,8.77740120945389,0.625,30.0
homephone_count_1_by_3,2.6915975170493365,0.6120621770380966,0.12,3.0
homephone_count_1_by_7,5.195522666271866,1.9671053575078064,0.21212121212121213,7.000000000000001
homephone_count_1_by_14,7.9810841039117895,4.21821913864504,0.411764705882353,14.000000000000002
homephone_count_1_by_30,11.664857717147212,8.7627797246434,0.6521739130434783,30.000000000000004
name_count_0_by_3,2.973791027197195,0.20384640123478187,0.13636363636363638,3.0
name_count_0_by_7,6.8772611358629065,0.6765627120907732,0.3181818181818182,7.000000000000001
name_count_0_by_14,13.574943007811994,1.7855416132676194,0.6363636363636364,14.000000000000002
name_count_0_by_30,28.388818695338024,5.093380950854155,1.3636363636363638,30.000000000000004
name_count_1_by_3,2.9835213078423357,0.1566124857205869,0.42857142857142855,3.0
name_count_1_by_7,6.898337659008897,0.604819809516034,0.4666666666666667,7.000000000000001
name_count_1_by_14,13.614012477935798,1.682714405581141,0.823529411764706,14.000000000000002
name_count_1_by_30,28.463746553883066,4.943732261181395,1.5,30.000000000000004
fulladdress_count_0_by_3,2.9888522413581877,0.1398025933408442,0.1764705882352941,3.0
fulladdress_count_0_by_7,6.957975637438528,0.41074644414008,0.3181818181818182,7.0
fulladdress_count_0_by_14,13.866194635052302,1.015231137407149,0.6363636363636364,14.0
fulladdress_count_0_by_30,29.491029508007855,2.8311746914195277,1.3043478260869565,30.000000000000004
fulladdress_count_1_by_3,2.994196558803192,0.09195818732462058,0.42857142857142855,3.0
fulladdress_count_1_by_7,6.9697097047309855,0.33125717230105867,0.5833333333333334,7.000000000000001
fulladdress_count_1_by_14,13.889241540461533,0.8942138215329839,0.9333333333333333,14.000000000000002
fulladdress_count_1_by_30,29.53983823119159,2.6418552470739187,1.3043478260869565,30.000000000000004
name_dob_count_0_by_3,2.9921090937306594,0.11622104190240123,0.13636363636363638,3.0
name_dob_count_0_by_7,6.968305079035207,0.3521266342247315,0.3181818181818182,7.000000000000001
name_dob_count_0_by_14,13.894301164600625,0.8933636595725971,0.6363636363636364,14.000000000000002
name_dob_count_0_by_30,29.584206847627016,2.546141232788401,1.3636363636363638,30.000000000000004
name_dob_count_1_by_3,2.995662725424753,0.07994750808793126,0.42857142857142855,3.0
name_dob_count_1_by_7,6.976157264059495,0.2932863519533849,0.5,7.000000000000001
name_dob_count_1_by_14,13.909722757575292,0.8055420148813454,0.875,14.000000000000002
name_dob_count_1_by_30,29.616877839936624,2.411014077523057,1.7647058823529411,30.000000000000004
name_fulladdress_count_0_by_3,2.9955578,0.08161702347309573,0.75,3.0
name_fulladdress_count_0_by_7,6.976448849999997,0.2871710310599327,1.1666666666666667,7.0
name_fulladdress_count_0_by_14,13.907629816666631,0.8035351224136275,1.75,14.0
name_fulladdress_count_0_by_30,29.594761656926405,2.457597906637487,2.7272727272727275,30.0
name_fulladdress_count_1_by_3,2.9969978,0.06706755022541663,0.75,3.0
name_fulladdress_count_1_by_7,6.979784233333334,0.265929272442642,1.1666666666666667,7.0
name_fulladdress_count_1_by_14,13.914250183333305,0.7740030049304598,1.75,14.0
name_fulladdress_count_1_by_30,29.60873083549783,2.414786233027105,2.7272727272727275,30.0
name_homephone_count_0_by_3,2.9957683,0.07967693558086618,0.75,3.0
name_homephone_count_0_by_7,6.977524516666664,0.28060824016009955,1.1666666666666667,7.0
name_homephone_count_0_by_14,13.91196351666663,0.7848346757667815,1.75,14.0
name_homephone_count_0_by_30,29.614705156926405,2.3982813494953046,2.7272727272727275,30.0
name_homephone_count_1_by_3,2.9971362999999998,0.06551426191639828,0.75,3.0
name_homephone_count_1_by_7,6.980693066666667,0.25994356205143443,1.1666666666666667,7.0
name_homephone_count_1_by_14,13.918250216666639,0.7560647711472019,1.75,14.0
name_homephone_count_1_by_30,29.62797333549783,2.356492572244158,2.7272727272727275,30.0
fulladdress_dob_count_0_by_3,2.9959597999999996,0.07785401624382751,0.75,3.0
fulladdress_dob_count_0_by_7,6.978627016666664,0.2737643273303663,1.1666666666666667,7.0
fulladdress_dob_count_0_by_14,13.916177983333299,0.7662702991762672,1.75,14.0
fulladdress_dob_count_0_by_30,29.633309156926405,2.3421489292666413,2.7272727272727275,30.0
fulladdress_dob_count_1_by_3,2.9972632999999997,0.06403771993129788,0.75,3.0
fulladdress_dob_count_1_by_7,6.981645066666667,0.25355638347600207,1.1666666666666667,7.0
fulladdress_dob_count_1_by_14,13.922163683333308,0.7381367666360552,1.75,14.0
fulladdress_dob_count_1_by_30,29.645928335497832,2.301246527692858,2.7272727272727275,30.0
fulladdress_homephone_count_0_by_3,2.9918243605656287,0.11868108110690216,0.1764705882352941,3.0
fulladdress_homephone_count_0_by_7,6.967208117307659,0.35858341884577233,0.3181818181818182,7.0
fulladdress_homephone_count_0_by_14,13.89056134435117,0.9090581055396287,0.6363636363636364,14.0
fulladdress_homephone_count_0_by_30,29.56887242500821,2.591033626452559,1.3043478260869565,30.000000000000004
fulladdress_homephone_count_1_by_3,2.995528897766636,0.08121535375843522,0.5,3.0
fulladdress_homephone_count_1_by_7,6.975391861619433,0.2978145534963238,0.5833333333333334,7.000000000000001
fulladdress_homephone_count_1_by_14,13.906647490890542,0.8183931917815555,0.9333333333333333,14.000000000000002
fulladdress_homephone_count_1_by_30,29.602924940165735,2.4514526941212735,1.3043478260869565,30.000000000000004
dob_homephone_count_0_by_3,2.9959753,0.07771501032272347,0.75,3.0
dob_homephone_count_0_by_7,6.978813683333331,0.2725680661212601,1.1666666666666667,7.0
dob_homephone_count_0_by_14,13.916931183333299,0.7628327583653903,1.75,14.0
dob_homephone_count_0_by_30,29.636589156926405,2.331616776244918,2.7272727272727275,30.0
dob_homephone_count_1_by_3,2.9972708,0.0639501411794211,0.75,3.0
dob_homephone_count_1_by_7,6.981813066666668,0.252374017492338,1.1666666666666667,7.0
dob_homephone_count_1_by_14,13.92287721666664,0.7347017979442892,1.75,14.0
dob_homephone_count_1_by_30,29.64913233549783,2.290715315867626,2.7272727272727275,30.0
homephone_name_dob_count_0_by_3,2.9960492999999997,0.07699488877655117,0.75,3.0
homephone_name_dob_count_0_by_7,6.9791450166666635,0.2704380218084415,1.1666666666666667,7.0
homephone_name_dob_count_0_by_14,13.918200516666634,0.7570671283641118,1.75,14.0
homephone_name_dob_count_0_by_30,29.642434156926406,2.313263563592466,2.7272727272727275,30.0
homephone_name_dob_count_1_by_3,2.9973137999999997,0.06344961272833038,0.75,3.0
homephone_name_dob_count_1_by_7,6.982072066666667,0.250584866525986,1.1666666666666667,7.0
homephone_name_dob_count_1_by_14,13.92400421666664,0.729416555221109,1.75,14.0
homephone_name_dob_count_1_by_30,29.65467233549783,2.2730257367352613,2.7272727272727275,30.0
ssn_firstname_count_0_by_3,2.991729093730659,0.1186241529243199,0.13636363636363638,3.0
ssn_firstname_count_0_by_7,6.966102879035207,0.3626614843960556,0.3181818181818182,7.000000000000001
ssn_firstname_count_0_by_14,13.885695597933955,0.9253305280119584,0.6363636363636364,14.000000000000002
ssn_firstname_count_0_by_30,29.545270954769865,2.6519078930146134,1.3636363636363638,30.000000000000004
ssn_firstname_count_1_by_3,2.9954167254247532,0.08220954908599505,0.42857142857142855,3.0
ssn_firstname_count_1_by_7,6.97426749739283,0.3041283904317832,0.5,7.000000000000001
ssn_firstname_count_1_by_14,13.901742057575289,0.8384566133222636,0.875,14.000000000000002
ssn_firstname_count_1_by_30,29.579289697079485,2.519127371318583,1.7647058823529411,30.000000000000004
ssn_lastname_count_0_by_3,2.9917315937306594,0.11861273541306122,0.13636363636363638,3.0
ssn_lastname_count_0_by_7,6.966149545701874,0.36243307778939754,0.3181818181818182,7.000000000000001
ssn_lastname_count_0_by_14,13.885818097933955,0.924866742528267,0.6363636363636364,14.000000000000002
ssn_lastname_count_0_by_30,29.545353454769863,2.651656886780147,1.3636363636363638,30.000000000000004
ssn_lastname_count_1_by_3,2.995417725424753,0.08220656376604044,0.42857142857142855,3.0
ssn_lastname_count_1_by_7,6.974311830726163,0.30388141259713314,0.5,7.000000000000001
ssn_lastname_count_1_by_14,13.901862224241956,0.8379908562863123,0.875,14.000000000000002
ssn_lastname_count_1_by_30,29.579369697079482,2.518932317327805,1.7647058823529411,30.000000000000004
ssn_address_count_0_by_3,2.9955968,0.081275355646915,0.75,3.0
ssn_address_count_0_by_7,6.976618016666663,0.28616642597736525,1.1666666666666667,7.0
